lat,lon,irrigation_result,tmin,tmax,prcp,cropland,elevation_result,,,,,,,
33.54432167,-111.2813548,0,15.77999973,29.90999985,0,152,833,,,,,,,
31.50911651,-109.1490873,0,8.609999657,25.81999969,0,152,1403,,,,,,,
32.49076369,-110.1540568,0,11.61999989,25.17000008,0,152,1501,,,,,,,
31.87749606,-111.859131,0,15.26000023,31.13999939,0,152,798,,,,,,,
36.53829046,-110.8321802,0,8.779999733,23.38999939,0,176,1889,,,,,,,
36.9633879,-109.5543291,0,5,24.19000053,0,152,1711,,,,,,,
35.14950479,-111.5584239,0,3.210000038,21.28000069,0,142,2017,,,,,,,
36.36462147,-111.9123091,0,9.93999958,25.65999985,0,131,1494,,,,,,,
35.63002631,-109.4383529,0,3.869999886,21.62000084,0,142,2138,,,,,,,
34.93866507,-111.7952378,0,8.43999958,26.26000023,0,142,1468,,,,,,,
33.62770524,-111.3024943,0,13.53999996,27.70000076,0,152,1195,,,,,,,
35.3090556,-110.8578741,0,8.489999771,26.27000046,0,152,1455,,,,,,,
34.17606795,-110.5479682,0,7.760000229,21.45000076,0,142,2055,,,,,,,
36.57243116,-111.5271458,0,8.220000267,22.23999977,0,152,1970,,,,,,,
31.45398874,-110.9961786,0,13.39000034,29.13999939,7.050000191,152,1079,,,,,,,
32.08986758,-111.9050567,0,16.68000031,31.04000092,1.870000005,152,810,,,,,,,
32.14638034,-110.2507438,0,12.23999977,26.48999977,1.519999981,152,1293,,,,,,,
36.97719067,-111.6551592,0,9.869999886,24.03000069,0,131,1629,,,,,,,
31.79023111,-111.4878216,0,13.51000023,29.12999916,1.950000048,152,1039,,,,,,,
32.61435504,-110.5226503,0,17.27000046,31.62000084,0,152,842,,,,,,,
35.5405203,-110.0158716,0,5.329999924,24.04999924,0,152,1825,,,,,,,
35.91773482,-111.876095,0,4.039999962,21.79000092,0,142,2022,,,,,,,
35.00489458,-110.92241,0,8.020000458,25.14999962,0,152,1599,,,,,,,
35.57540432,-110.6893523,0,7.510000229,25.69000053,0,152,1594,,,,,,,
36.80855295,-111.7204196,0,10.78999996,25.22999954,0,152,1518,,,,,,,
33.71388009,-111.3807709,0,13.94999981,27.79999924,0,152,1264,,,,,,,
33.44796722,-110.7693285,2,12.01000023,27.31999969,0,152,1309,,,,,,,
31.35150195,-110.5246689,0,10.98999977,26.57999992,9.649999619,152,1501,,,,,,,
35.90645472,-110.621348,0,6.710000038,24.37000084,0,176,1761,,,,,,,
35.63423689,-110.9336845,0,7.420000076,25.09000015,0,152,1627,,,,,,,
33.03706957,-111.2556997,0,17.88999939,32.88000107,0,152,577,,,,,,,
35.39180296,-111.1578226,0,9.130000114,25.70000076,0,152,1444,,,,,,,
32.68145692,-111.8732864,0,17.84000015,33.63999939,0,152,489,,,,,,,
34.44203455,-109.7835485,0,5.980000019,23.65999985,0,152,1847,,,,,,,
33.66821742,-111.3609219,5,13.77999973,27.70000076,0,152,1423,,,,,,,
33.19183378,-109.3660709,0,8.380000114,20.70999908,0,142,2080,,,,,,,
35.2482027,-109.8814493,0,5.829999924,24.82999992,0,152,1686,,,,,,,
32.60860677,-109.6279707,0,12.82999992,28.71999931,0,152,1111,,,,,,,
33.72705363,-109.6224273,0,3.480000019,17.72999954,0,142,2491,,,,,,,
33.10645231,-111.8114962,0,18.96999931,34.81000137,0,152,370,,,,,,,
32.28742878,-110.0180475,5,11.39000034,25.86000061,0,152,1488,,,,,,,
36.74655853,-110.5863446,0,8.31000042,22.12999916,0,142,2159,,,,,,,
32.81158617,-110.8397738,2,16.38999939,30.26000023,0,152,1107,,,,,,,
31.79720467,-111.5493366,0,12.02999973,25.62000084,1.529999971,142,1600,,,,,,,
36.65741331,-110.0159358,0,6.090000153,24.44000053,0,152,1693,,,,,,,
32.2806701,-111.3019975,0,18.51000023,32.52999878,2.890000105,152,658,,,,,,,
35.57542763,-109.0774353,0,2.289999962,22.39999962,0,142,2077,,,,,,,
35.9021598,-110.4486915,0,5.980000019,23.75,0,152,1858,,,,,,,
35.83180163,-109.8090246,0,4.760000229,23.04999924,0,176,1933,,,,,,,
32.61266222,-110.7829223,0,15.65999985,28.25,0,152,1356,,,,,,,
31.51278519,-110.3324471,0,12.39999962,26.29999924,2.630000114,152,1519,,,,,,,
34.26170314,-110.0542353,0,6.460000038,22.54000092,0,152,1935,,,,,,,
32.00551308,-109.251254,0,9.25,24.76000023,8.659999847,152,1648,,,,,,,
31.78120325,-111.263437,0,13.92000008,28.62999916,5.130000114,152,1114,,,,,,,
34.95004075,-109.4677345,0,3.640000105,22.94000053,0,152,1974,,,,,,,
35.5121219,-111.016344,0,8.449999809,25.45000076,0,152,1520,,,,,,,
33.25487201,-109.3864662,0,8.850000381,21.94000053,0,142,1930,,,,,,,
35.66329582,-109.2454616,0,3.289999962,20.55999947,0,142,2300,,,,,,,
36.92374521,-110.7025974,0,8.699999809,23.20999908,0,152,1915,,,,,,,
33.85270864,-111.8749821,2,18.72999954,31.32999992,0,122,862,,,,,,,
31.83680359,-111.4169343,0,14.36999989,29.94000053,2.650000095,152,921,,,,,,,
35.32587512,-110.8125684,0,8.380000114,26.40999985,0,152,1448,,,,,,,
34.6711045,-110.9438295,0,6.929999828,22.01000023,0,142,1978,,,,,,,
36.91878037,-111.8579014,0,8.409999847,23.84000015,0,152,1801,,,,,,,
35.94078722,-111.7163413,0,5.820000172,23.06999969,0,152,1847,,,,,,,
34.84926922,-109.8751798,0,6.420000076,24.65999985,0,152,1688,,,,,,,
36.51931517,-111.4538954,0,8.409999847,23.03000069,0,152,1835,,,,,,,
34.23108279,-110.4428539,0,7.139999866,22.45999908,0,142,1903,,,,,,,
36.52143425,-110.1398765,0,6.599999905,23.10000038,0,176,1893,,,,,,,
36.45177065,-110.5201669,0,7.880000114,22.80999947,0,152,2026,,,,,,,
36.91883696,-110.5087577,0,8.199999809,24.04000092,0,152,1790,,,,,,,
32.33166459,-109.7913372,0,12.10999966,27.46999931,0,152,1307,,,,,,,
32.67774964,-109.5554437,0,13.27000046,29.53000069,0,152,969,,,,,,,
32.31731577,-110.6838676,2,14.96000004,27.73999977,8.800000191,152,1234,,,,,,,
32.95004811,-110.9007901,2,15.32999992,29.06999969,0,152,1150,,,,,,,
36.40941178,-109.4625321,0,4.730000019,23.47999954,0,152,1776,,,,,,,
33.97177802,-111.6724795,5,15.65999985,30.93000031,0,152,683,,,,,,,
31.52216539,-109.1318745,0,8.5,25.70000076,0,152,1436,,,,,,,
33.66026947,-109.3741681,0,3.539999962,17.28000069,0,142,2547,,,,,,,
35.727462,-111.0416391,0,7.789999962,25.09000015,0,152,1645,,,,,,,
